année,pop_id,cha_id,nombre_employe
2019,pop_3,cha_2,78
2020,pop_3,cha_2,87
1990,pop_4,cha_2,152
1991,pop_4,cha_2,128
1992,pop_4,cha_2,117
1993,pop_4,cha_2,127
1994,pop_4,cha_2,136
1995,pop_4,cha_2,145
1996,pop_4,cha_2,144
1997,pop_4,cha_2,144
1998,pop_4,cha_2,142
1999,pop_4,cha_2,131
2000,pop_4,cha_2,139
2001,pop_4,cha_2,128
2002,pop_4,cha_2,123
2003,pop_4,cha_2,116
2004,pop_4,cha_2,111
2005,pop_4,cha_2,107
2006,pop_4,cha_2,125
2007,pop_4,cha_2,121
2008,pop_4,cha_2,131
2009,pop_4,cha_2,131
2010,pop_4,cha_2,132
2011,pop_4,cha_2,113
2012,pop_4,cha_2,112
2013,pop_4,cha_2,114
2014,pop_4,cha_2,119
2015,pop_4,cha_2,126
2016,pop_4,cha_2,121
2017,pop_4,cha_2,114
2018,pop_4,cha_2,114
2019,pop_4,cha_2,100
2020,pop_4,cha_2,85
1990,pop_5,cha_2,270
1991,pop_5,cha_2,281
1992,pop_5,cha_2,302
1993,pop_5,cha_2,363
1994,pop_5,cha_2,422
1995,pop_5,cha_2,444
1996,pop_5,cha_2,469
1997,pop_5,cha_2,542
1998,pop_5,cha_2,520
1999,pop_5,cha_2,523
2000,pop_5,cha_2,510
2001,pop_5,cha_2,505
2002,pop_5,cha_2,478
2003,pop_5,cha_2,492
2004,pop_5,cha_2,556
2005,pop_5,cha_2,554
2006,pop_5,cha_2,541
2007,pop_5,cha_2,574
2008,pop_5,cha_2,578
2009,pop_5,cha_2,582
2010,pop_5,cha_2,627
2011,pop_5,cha_2,560
2012,pop_5,cha_2,546
2013,pop_5,cha_2,585
2014,pop_5,cha_2,583
2015,pop_5,cha_2,603
2016,pop_5,cha_2,553
2017,pop_5,cha_2,523
2018,pop_5,cha_2,501
2019,pop_5,cha_2,470
2020,pop_5,cha_2,447
1990,pop_6,cha_2,65
1991,pop_6,cha_2,56
1992,pop_6,cha_2,59
1993,pop_6,cha_2,76
1994,pop_6,cha_2,86
1995,pop_6,cha_2,93
1996,pop_6,cha_2,97
1997,pop_6,cha_2,101
1998,pop_6,cha_2,103
1999,pop_6,cha_2,109
2000,pop_6,cha_2,111
2001,pop_6,cha_2,119
2002,pop_6,cha_2,111
2003,pop_6,cha_2,119
2004,pop_6,cha_2,136
2005,pop_6,cha_2,142
2006,pop_6,cha_2,143
2007,pop_6,cha_2,162
2008,pop_6,cha_2,187
2009,pop_6,cha_2,206
2010,pop_6,cha_2,219
2011,pop_6,cha_2,223
2012,pop_6,cha_2,231
2013,pop_6,cha_2,249
2014,pop_6,cha_2,252
2015,pop_6,cha_2,252
2016,pop_6,cha_2,265
2017,pop_6,cha_2,268
2018,pop_6,cha_2,255
2019,pop_6,cha_2,245
2020,pop_6,cha_2,220
